station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type
KESF,2015-03-13T08:24:00Z,18.9,17.8,180,7,,10.0,29.958662,,,-RA,SCT,500,BKN,1000,OVC,2100,,,SPECI
KANB,2015-03-13T08:24:00Z,15.6,12.8,100,8,,10.0,30.250984,,,-RA,OVC,1500,,,,,,,SPECI
KBIX,2015-03-13T08:23:00Z,21.0,21.0,110,8,,5.0,30.050198,,,RA BR,OVC,500,,,,,,,SPECI
KHOP,2015-03-13T08:23:00Z,14.0,13.0,140,8,,10.0,30.171259,,,,BKN,3400,OVC,7500,,,,,METAR
KAQV,2015-03-13T08:22:00Z,18.3,17.2,0,3,,10.0,29.920275,,,,SCT,1000,BKN,1500,OVC,5500,,,METAR
KRUE,2015-03-13T08:22:00Z,12.8,12.2,0,0,,3.0,30.041338,,,BR,OVC,700,,,,,,,METAR
KLSF,2015-03-13T08:22:00Z,15.0,11.0,90,9,,10.0,30.250984,,,-RA,OVC,2500,,,,,,,METAR
KESN,2015-03-13T08:22:00Z,2.6,-9.1,90,4,,10.0,30.620079,,,,CLR,,,,,,,,METAR
KAEX,2015-03-13T08:22:00Z,18.9,17.8,160,7,,9.0,29.940945,,,,SCT,800,BKN,1700,OVC,2600,,,METAR
KMOT,2015-03-13T08:22:00Z,0.0,-1.1,290,6,,0.5,30.100393,,,FG,OVX,0,,,,,,,METAR
KBPT,2015-03-13T08:21:00Z,16.1,15.6,140,7,,0.5,29.929134,,,-RA FG,OVX,0,,,,,,,METAR
KCRS,2015-03-13T08:21:00Z,13.3,11.7,330,7,,7.0,30.0,,,-RA,OVC,900,,,,,,,METAR
KIRK,2015-03-13T08:21:00Z,6.7,6.1,0,0,,2.0,30.200787,,,BR,CLR,,,,,,,,METAR
KROG,2015-03-13T08:21:00Z,11.0,10.0,100,8,,7.0,30.079725,,,,OVC,300,,,,,,,METAR
KSXS,2015-03-13T08:21:00Z,17.0,17.0,90,10,17,4.0,30.180119,,,BR,BKN,300,BKN,500,,,,,METAR
KNBG,2015-03-13T08:21:00Z,20.0,18.3,110,6,,10.0,30.02067,,TRUE,-RA,SCT,700,BKN,11000,,,,,METAR
KWRB,2015-03-13T08:20:00Z,13.0,8.0,120,9,,4.0,30.268702,,,+RA,OVC,2700,,,,,,,METAR
KSGJ,2015-03-13T08:20:00Z,18.0,18.0,0,0,,9.0,30.230314,,,,BKN,2500,,,,,,,METAR
KGKY,2015-03-13T08:20:00Z,15.0,11.7,350,4,,10.0,30.02067,,,,SCT,1500,OVC,7000,,,,,METAR
KDWH,2015-03-13T08:20:00Z,14.0,13.0,270,3,,2.5,29.958662,,,-RA BR,OVC,500,,,,,,,METAR
KARA,2015-03-13T08:20:00Z,18.3,17.2,170,4,,7.0,29.991142,,,-RA,SCT,800,OVC,2800,,,,,METAR
KQFX,2015-03-13T08:20:00Z,11.0,-16.0,350,4,13,6.21,30.059055,,,,CLR,,,,,,,,METAR
KQFV,2015-03-13T08:20:00Z,7.0,-17.0,260,5,,6.21,30.02067,,,,CLR,,,,,,,,METAR
KQFU,2015-03-13T08:20:00Z,9.0,-15.0,110,8,17,6.21,30.070866,,,,CLR,,,,,,,,METAR
KQFT,2015-03-13T08:20:00Z,10.0,-15.0,280,4,12,6.21,30.041338,,,,CLR,,,,,,,,METAR
KQFB,2015-03-13T08:20:00Z,11.0,0.0,240,4,,6.21,30.100393,,,,FEW,3900,,,,,,,METAR
KQEY,2015-03-13T08:20:00Z,7.0,3.0,100,2,,3.73,30.079725,,,HZ,CLR,,,,,,,,METAR
KQEX,2015-03-13T08:20:00Z,11.0,-5.0,280,3,,6.21,30.079725,,,,CLR,,,,,,,,METAR
KQEW,2015-03-13T08:20:00Z,11.0,-2.0,220,4,14,6.21,30.041338,,,,CLR,,,,,,,,METAR
KQEV,2015-03-13T08:20:00Z,11.0,-11.0,340,3,,6.21,30.079725,,,,CLR,,,,,,,,METAR
KQES,2015-03-13T08:20:00Z,6.0,-5.0,,,,6.21,30.15059,,,,CLR,,,,,,,,METAR
KQER,2015-03-13T08:20:00Z,-6.0,-11.0,,,,4.97,,,,,CLR,,,,,,,,METAR
KQEQ,2015-03-13T08:20:00Z,9.0,-13.0,300,9,14,6.21,29.949802,,,,CLR,,,,,,,,METAR
KQEP,2015-03-13T08:20:00Z,10.0,-16.0,310,8,20,6.21,30.008858,,,,CLR,,,,,,,,METAR
KQEN,2015-03-13T08:20:00Z,-3.0,-5.0,,,,6.21,,,,,CLR,,,,,,,,METAR
KQEL,2015-03-13T08:20:00Z,10.0,-16.0,350,3,,6.21,30.088583,,,,CLR,,,,,,,,METAR
KQEJ,2015-03-13T08:20:00Z,8.0,-16.0,280,5,13,6.21,30.0,,,,CLR,,,,,,,,METAR
KQEI,2015-03-13T08:20:00Z,8.0,-16.0,210,4,11,6.21,30.041338,,,,CLR,,,,,,,,METAR
KNDZ,2015-03-13T08:20:00Z,21.7,19.4,110,8,,9.0,30.121063,,TRUE,,BKN,1000,OVC,1400,,,,,METAR
KGRY,2015-03-13T08:20:00Z,22.0,19.0,230,10,15,10.0,30.008858,,,,BKN,1900,BKN,3300,OVC,4700,,,SPECI
KVKS,2015-03-13T08:20:00Z,20.0,19.0,120,4,,10.0,30.02067,,,,SCT,1000,SCT,1400,BKN,3300,,,SPECI
KS39,2015-03-13T08:20:00Z,5.0,1.0,0,0,,10.0,30.33071,,,,CLR,,,,,,,,SPECI
KSLH,2015-03-13T08:19:00Z,0.5,-4.1,40,4,,10.0,30.318897,,,,OVC,8500,,,,,,,SPECI
K14Y,2015-03-13T08:19:00Z,4.0,4.0,230,3,,1.0,30.0,,,BR,OVX,0,,,,,,,SPECI
KBHM,2015-03-13T08:19:00Z,15.0,13.9,100,9,18,10.0,30.221457,,,,SCT,900,BKN,2200,OVC,12000,,,SPECI
KBFM,2015-03-13T08:19:00Z,18.3,18.3,80,6,,0.75,30.109253,,,BR,OVC,700,,,,,,,SPECI
KPOV,2015-03-13T08:18:00Z,2.2,-12.7,100,7,,10.0,30.389763,,,,,,,,,,,,SPECI
KTGI,2015-03-13T08:18:00Z,4.0,-2.0,90,6,,10.0,30.561024,,,,CLR,,,,,,,,METAR
KGWW,2015-03-13T08:18:00Z,6.0,-2.0,50,3,,10.0,30.519686,,,,CLR,,,,,,,,SPECI
KPOE,2015-03-13T08:18:00Z,17.0,16.0,150,10,,10.0,29.929134,,,,BKN,900,BKN,1400,BKN,2000,,,SPECI
KMIB,2015-03-13T08:18:00Z,0.0,0.0,310,8,,1.5,30.109253,,TRUE,BR,OVC,200,,,,,,,SPECI
KLRF,2015-03-13T08:18:00Z,15.0,15.0,60,5,,1.25,30.029528,,,+RA BR,BKN,300,OVC,900,,,,,METAR
KHRT,2015-03-13T08:18:00Z,21.0,16.0,110,11,,9.0,30.109253,,,,BKN,900,,,,,,,METAR
KBLV,2015-03-13T08:18:00Z,9.0,9.0,20,4,,5.0,30.180119,,,RA BR,BKN,2400,OVC,2900,,,,,SPECI
KBAD,2015-03-13T08:18:00Z,14.0,14.0,10,1,,5.0,29.949802,,,BR,OVC,200,,,,,,,SPECI
KPKD,2015-03-13T08:18:00Z,0.6,0.0,280,7,,2.5,29.970472,,,BR,CLR,,,,,,,,SPECI
KHOT,2015-03-13T08:18:00Z,13.3,12.8,0,0,,2.5,30.02067,,,-RA BR,OVC,700,,,,,,,SPECI
KFYV,2015-03-13T08:18:00Z,10.6,10.6,70,4,,5.0,30.079725,,,BR,BKN,1400,OVC,3800,,,,,SPECI
KTBN,2015-03-13T08:18:00Z,11.0,11.0,50,5,,7.0,30.109253,,,-DZ,OVC,1200,,,,,,,SPECI
KSJX,2015-03-13T08:17:00Z,3.3,-8.8,160,3,,10.0,30.268702,,,,BKN,11000,,,,,,,SPECI
KBDU,2015-03-13T08:17:00Z,8.0,1.0,0,0,,10.0,30.351377,,,-RA,SCT,4300,BKN,4900,OVC,5500,,,SPECI
KMNH,2015-03-13T08:17:00Z,1.0,0.0,310,9,,10.0,30.339567,,,,BKN,4700,,,,,,,SPECI
KCOQ,2015-03-13T08:17:00Z,1.0,-2.0,120,3,,10.0,30.0,,,,CLR,,,,,,,,SPECI
KSAW,2015-03-13T08:17:00Z,2.8,-2.1,200,10,15,10.0,30.15059,,,,OVC,9000,,,,,,,SPECI
KMLC,2015-03-13T08:17:00Z,12.8,11.7,30,4,,5.0,30.050198,,,BR,OVC,400,,,,,,,SPECI
KIOW,2015-03-13T08:17:00Z,1.1,1.1,0,0,,0.25,30.221457,,,FG,OVX,0,,,,,,,SPECI
KHKA,2015-03-13T08:17:00Z,16.1,15.6,140,9,,8.0,30.100393,,,-RA,SCT,1400,BKN,6000,OVC,7500,,,SPECI
