station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KVKS,2015-03-13T08:40:00Z,20.0,19.0,120,5,,10.0,30.008858,,,,SCT,1100,BKN,4000,OVC,4900,,,METAR,"['KVKS 130840Z AUTO 12005KT 10SM SCT011 BKN040 OVC049 20/19 A3001 ', ' A01']"
KS39,2015-03-13T08:40:00Z,5.0,1.0,180,4,,10.0,30.318897,,,,CLR,,,,,,,,METAR,"['KS39 130840Z AUTO 18004KT 10SM CLR 05/01 A3032 ', ' AO2']"
KGRY,2015-03-13T08:40:00Z,22.0,19.0,250,11,17,2.5,30.0,,,HZ,SCT,1800,BKN,4200,OVC,6500,,,METAR,"['KGRY 130840Z AUTO 25011G17KT 230V320 2 1/2SM HZ SCT018 BKN042 OVC065 22/19 A3000 ', ' A01']"
K14Y,2015-03-13T08:39:00Z,3.0,3.0,260,4,,0.75,30.0,,,BR,OVX,0,,,,,,,METAR,"['K14Y 130839Z AUTO 26004KT 3/4SM BR VV005 03/03 A3000 ', ' AO2']"
KLRF,2015-03-13T08:38:00Z,15.0,15.0,50,5,,3.0,30.02067,,,RA BR,BKN,200,OVC,800,,,,,SPECI,"['KLRF 130838Z AUTO 05005KT 3SM RA BR BKN002 OVC008 15/15 A3002 ', ' AO2']"
KHRT,2015-03-13T08:38:00Z,21.0,16.0,110,9,,10.0,30.100393,,TRUE,,BKN,700,BKN,1100,,,,,SPECI,"['KHRT 130838Z AUTO 11009KT 10SM BKN007 BKN011 21/16 A3010 ', ' AO2 $']"
KSLH,2015-03-13T08:38:00Z,0.5,-3.1,60,4,,10.0,30.31004,,,,OVC,8500,,,,,,,METAR,"['KSLH 130838Z AUTO 06004KT 10SM OVC085 00/M03 A3031 ', ' AO2 T00051031']"
KPOV,2015-03-13T08:38:00Z,2.1,-12.5,100,8,,10.0,30.369095,,,,,,,,,,,,METAR,"['KPOV 130838Z AUTO 10008KT 10SM 02/M12 A3037 ', ' AO2 T00211125']"
KVIH,2015-03-13T08:37:00Z,10.0,9.4,60,8,,3.0,30.121063,,,-RA BR,SCT,500,BKN,2000,OVC,2600,,,SPECI,"['KVIH 130837Z AUTO 06008KT 3SM -RA BR SCT005 BKN020 OVC026 10/09 A3012 ', ' AO2 P0000 T01000094']"
KSAW,2015-03-13T08:37:00Z,2.5,-1.6,200,13,,7.0,30.138779,,,-RA,SCT,6500,OVC,8000,,,,,METAR,"['KSAW 130837Z AUTO 20013KT 7SM -RA SCT065 OVC080 03/M02 A3014 ', ' AO2 T00251016']"
