1,2,5,6,7,8,9,10,11,13,16,21,22,23,24,25,26,27,28,29,42
station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type
K04V,2015-03-13T06:56:00Z,6,-5,40,5,,10,30.28937,,,,OVC,7500,,,,,,,METAR
K04W,2015-03-13T06:54:00Z,8,6,160,7,,10,30.008858,,,,CLR,,,,,,,,METAR
K05U,2015-03-13T06:55:00Z,-1,-4,180,6,,10,30.431103,,,,CLR,,,,,,,,METAR
K06D,2015-03-13T06:55:00Z,-1,-1,350,4,,10,30.029528,,,,CLR,,,,,,,,METAR
K0A9,2015-03-13T06:55:00Z,11,-2,90,9,,10,30.410433,,,#NAME?,BKN,6000,OVC,7000,,,,,METAR
K0CO,2015-03-13T06:55:00Z,-7,-11,0,0,,2,30.43996,,,#NAME?,SCT,500,OVC,1500,,,,,METAR
K0E0,2015-03-13T06:55:00Z,4.1,-4.5,300,5,,10,30.15059,,,,OVC,11000,,,,,,,METAR
K0F2,2015-03-13T06:55:00Z,9,8.7,0,0,,0.25,30.059055,,,FG,OVX,0,,,,,,,SPECI
K0J4,2015-03-13T06:58:00Z,20,18.3,100,8,15,10,30.171259,,,,OVC,900,,,,,,,SPECI
K0V4,2015-03-13T06:55:00Z,5.3,1.5,0,0,,10,30.549213,,,,CLR,,,,,,,,METAR
K0VG,2015-03-13T06:55:00Z,13,4,60,4,,10,30.380905,,,,OVC,6000,,,,,,,METAR
K11R,2015-03-13T06:55:00Z,15,13.7,330,4,,7,30,,,,OVC,1200,,,,,,,SPECI
