station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KESN,2015-03-13T08:42:00Z,2.1,-9.8,80,5,,10.0,30.628937,,,,CLR,,,,,,,,METAR, AO2 T00211098
KVKS,2015-03-13T08:40:00Z,20.0,19.0,120,5,,10.0,30.008858,,,,SCT,1100,BKN,4000,OVC,4900,,,METAR, A01
KS39,2015-03-13T08:40:00Z,5.0,1.0,180,4,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2
KGRY,2015-03-13T08:40:00Z,22.0,19.0,250,11,17,2.5,30.0,,,HZ,SCT,1800,BKN,4200,OVC,6500,,,METAR, A01
KCLL,2015-03-13T08:39:00Z,13.9,12.2,290,7,,9.0,29.958662,,,,OVC,1000,,,,,,,SPECI, AO2 RAE22 P0000 T01390122
KBPK,2015-03-13T08:39:00Z,11.7,11.7,60,3,,2.5,30.070866,,,BR,OVC,300,,,,,,,SPECI, AO2 T01170117
KJEF,2015-03-13T08:39:00Z,12.2,10.0,70,3,,5.0,30.159449,,,-RA BR,SCT,2600,OVC,3200,,,,,SPECI, AO2 P0002 T01220100
KSHV,2015-03-13T08:39:00Z,13.9,13.3,360,4,,3.0,29.940945,,,-RA BR,OVC,400,,,,,,,SPECI, AO2 RAE07B35 P0000 T01390133
K1J0,2015-03-13T08:39:00Z,18.9,16.7,70,7,17,10.0,30.159449,,,,OVC,1000,,,,,,,SPECI, AO2 CIG 008V011 T01890167
KNPA,2015-03-13T08:39:00Z,19.4,18.9,110,9,,0.5,30.100393,,TRUE,-RA FG,OVX,0,,,,,,,SPECI, AO2 RAB24 P0000 T01940189 $
K14Y,2015-03-13T08:39:00Z,3.0,3.0,260,4,,0.75,30.0,,,BR,OVX,0,,,,,,,METAR, AO2
KTGI,2015-03-13T08:38:00Z,4.0,-3.0,70,7,,10.0,30.569881,,,,CLR,,,,,,,,METAR, AO1
KGWW,2015-03-13T08:38:00Z,5.0,-1.0,40,4,,10.0,30.519686,,,,CLR,,,,,,,,SPECI, AO2
KHWO,2015-03-13T08:38:00Z,23.9,18.3,90,13,19,10.0,30.138779,,,,BKN,2900,BKN,3900,BKN,6500,,,SPECI, AO2 T02390183
KHKS,2015-03-13T08:38:00Z,19.4,18.3,130,6,,10.0,30.041338,,,-RA,SCT,1300,BKN,2200,OVC,4200,,,SPECI, AO2 RAB07 P0000 T01940183
KLRF,2015-03-13T08:38:00Z,15.0,15.0,50,5,,3.0,30.02067,,,RA BR,BKN,200,OVC,800,,,,,SPECI, AO2
KHRT,2015-03-13T08:38:00Z,21.0,16.0,110,9,,10.0,30.100393,,TRUE,,BKN,700,BKN,1100,,,,,SPECI, AO2 $
