station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KNCA,2015-05-22T14:05:00Z,17.2,11.1,360,9,,10.0,30.15059,,,,BKN,3000,,,,,,,SPECI, AO2 T01720111
KSPS,2015-05-22T14:05:00Z,15.0,13.9,130,12,,2.5,30.15059,,,RA BR,BKN,500,BKN,2100,OVC,3600,,,METAR, AO2 LTG DSNT SE P0004 T01500139
KPGD,2015-05-22T14:05:00Z,29.4,22.8,350,7,,10.0,30.100393,,,,BKN,2100,,,,,,,SPECI, AO2 T02940228
K05U,2015-05-22T14:05:00Z,4.0,3.0,0,0,,7.0,29.97933,,,,FEW,10000,,,,,,,METAR, AO1
KJKL,2015-05-22T14:04:00Z,10.0,8.9,0,3,,9.0,30.28937,,,,FEW,300,,,,,,,SPECI, AO2 T01000089
KHMN,2015-05-22T14:04:00Z,13.0,11.0,350,7,,10.0,30.088583,,,,SCT,2900,,,,,,,METAR, AO2
KAFF,2015-05-22T14:03:00Z,6.0,6.0,0,2,,10.0,30.0,,,,BKN,500,BKN,900,OVC,1400,,,METAR, AO2
KEND,2015-05-22T14:03:00Z,11.0,11.0,110,11,,10.0,30.180119,,TRUE,,BKN,500,,,,,,,METAR, AO2 $
KFSI,2015-05-22T14:03:00Z,13.0,13.0,110,8,,7.0,30.138779,,,-RA,FEW,400,OVC,1000,,,,,METAR, AO2
KLTS,2015-05-22T14:03:00Z,13.0,13.0,100,9,,8.0,30.15059,,TRUE,-RA,BKN,500,OVC,1400,,,,,METAR, AO2 CIG 005V016 BKN V SCT $
KRND,2015-05-22T14:03:00Z,19.0,19.0,60,6,,0.5,30.100393,,,FG,CLR,,,,,,,,METAR, AO2
KWVI,2015-05-22T14:03:00Z,11.7,9.4,330,3,,10.0,30.02067,,,,BKN,1000,BKN,2200,OVC,2800,,,METAR, AO2 CIG 008V013 T01170094
KMYL,2015-05-22T14:03:00Z,5.0,4.4,0,0,,10.0,29.940945,,,,BKN,200,OVC,10000,,,,,METAR, AO2 T00500044
KCBE,2015-05-22T14:02:00Z,17.0,4.0,160,3,15,10.0,30.159449,,,,CLR,,,,,,,,METAR, AO1
KTRL,2015-05-22T14:02:00Z,15.6,10.6,90,11,,10.0,30.200787,,,,SCT,2300,OVC,3300,,,,,METAR, AO2 T01560106
KLCH,2015-05-22T14:02:00Z,18.3,15.0,50,9,,10.0,30.159449,,,,SCT,1100,OVC,2600,,,,,METAR, AO2 T01830150
KAMA,2015-05-22T14:02:00Z,11.1,10.0,150,10,,3.0,30.15059,,,BR,BKN,500,OVC,1500,,,,,METAR, AO2 T01110100
KLND,2015-05-22T14:01:00Z,9.4,5.6,0,0,,10.0,29.97933,,,,OVC,3100,,,,,,,METAR, AO2 T00940056
KCDS,2015-05-22T14:01:00Z,13.3,12.8,140,9,,1.5,30.15059,,,RA BR,SCT,400,BKN,3600,OVC,7500,,,METAR, AO2 LTG DSNT SE AND S P0004 T01330128
KPQN,2015-05-22T14:01:00Z,17.0,1.0,110,3,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2
KW29,2015-05-22T14:01:00Z,,,270,6,,10.0,30.079725,,,,,,,,,,,,METAR, AO1
KUIL,2015-05-22T14:01:00Z,10.6,10.6,0,0,,2.0,29.958662,,,BR,OVC,600,,,,,,,METAR, AO2 CIG 004V011 T01060106
KITR,2015-05-22T14:01:00Z,8.3,7.2,140,19,,1.5,30.041338,,,BR,OVC,200,,,,,,,METAR, AO2 T00830072
KBMQ,2015-05-22T14:01:00Z,17.2,16.7,0,3,,4.0,30.15059,,,-RA BR,OVC,400,,,,,,,METAR, AO2 P0000 T01720167
K2W6,2015-05-22T14:01:00Z,16.0,7.0,280,7,,10.0,30.121063,,,,CLR,,,,,,,,METAR, AO1
KGOK,2015-05-22T14:01:00Z,11.7,10.6,100,7,,1.75,30.209646,,,RA BR,FEW,1500,SCT,2400,OVC,9500,,,METAR, AO2 P0002 T01170106
KGLD,2015-05-22T14:01:00Z,8.3,7.8,150,15,,2.5,30.079725,,,-RA BR,OVC,500,,,,,,,METAR, AO2 CIG 004V009 P0000 T00830078
KDLZ,2015-05-22T14:00:00Z,15.0,5.0,290,4,,10.0,30.159449,,,,CLR,,,,,,,,METAR, AO2
KQEQ,2015-05-22T14:00:00Z,16.0,9.0,180,3,,6.21,29.799213,,,,FEW,24000,,,,,,,METAR, A02 TSNO
KQEP,2015-05-22T14:00:00Z,17.0,5.0,350,1,,6.21,29.890747,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEL,2015-05-22T14:00:00Z,15.0,7.0,10,1,,6.21,29.970472,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEJ,2015-05-22T14:00:00Z,16.0,8.0,0,0,,6.21,29.899607,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEI,2015-05-22T14:00:00Z,17.0,5.0,170,3,,6.21,29.949802,,,,CLR,,,,,,,,METAR, A02 TSNO
