station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KMYR,2015-05-22T19:45:00Z,22.0,13.0,140,10,,10.0,30.188976,,,,SCT,5000,,,,,,,METAR
K05U,2015-05-22T19:45:00Z,12.0,2.0,100,8,,9.0,29.958662,,,,CLR,,,,,,,,SPECI, AO1
KDYS,2015-05-22T19:43:00Z,21.0,16.0,170,10,,10.0,30.079725,,TRUE,,OVC,1500,,,,,,,SPECI, AO2 $
KBLU,2015-05-22T19:43:00Z,8.3,7.2,270,5,,0.25,30.041338,,,FG,OVX,0,,,,,,,SPECI, AO2 T00830072 
KM63,2015-05-22T19:42:00Z,25.0,1.0,110,12,22,10.0,29.991142,,,,FEW,21000,,,,,,,SPECI, AO2 WSHFT 31 LTG DSNT SW
KFCS,2015-05-22T19:42:00Z,15.0,9.0,130,8,,10.0,29.970472,,TRUE,-RA,FEW,2800,SCT,8000,SCT,11000,,,SPECI, AO2 RAB42 $
KVCT,2015-05-22T19:42:00Z,27.2,24.4,120,10,,10.0,30.070866,,TRUE,,BKN,1500,BKN,4900,OVC,9500,,,SPECI, AO2 T02720244 $
KLBB,2015-05-22T19:42:00Z,16.7,13.9,160,8,,10.0,30.109253,,,,BKN,1000,OVC,1500,,,,,SPECI, AO2 T01670139
KADW,2015-05-22T19:42:00Z,23.0,7.0,270,14,23,10.0,30.079725,,,,SCT,8000,,,,,,,SPECI, AO2 WSHFT 40
KHUL,2015-05-22T19:41:00Z,10.6,8.3,290,5,,2.5,29.749016,,,TSRA BR,FEW,2100,BKN,3700,OVC,5500,,,SPECI, AO2 RAB05 TSB40 P0003 T01060083
KFTW,2015-05-22T19:41:00Z,17.2,15.0,90,8,,10.0,30.121063,,,,OVC,1100,,,,,,,SPECI, AO2 T01720150
KABI,2015-05-22T19:40:00Z,20.6,17.8,150,11,,10.0,30.100393,,,,OVC,1000,,,,,,,SPECI, AO2 T02060178
KQFX,2015-05-22T19:40:00Z,9.0,6.0,120,1,,6.21,29.929134,,,,BKN,5500,,,,,,,METAR, A02 TSNO
KQFV,2015-05-22T19:40:00Z,8.0,6.0,170,2,,6.21,29.920275,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFU,2015-05-22T19:40:00Z,11.0,7.0,20,1,,6.21,29.929134,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFT,2015-05-22T19:40:00Z,10.0,6.0,160,1,,6.21,29.911417,,,,FEW,6000,,,,,,,METAR, A02 TSNO
KQFB,2015-05-22T19:40:00Z,16.0,10.0,240,1,,6.21,29.958662,,,,BKN,14000,,,,,,,METAR, A02 TSNO
KQEY,2015-05-22T19:40:00Z,13.0,8.0,230,1,,6.21,29.940945,,,,FEW,17000,BKN,21000,,,,,METAR, A02 TSNO
KQEX,2015-05-22T19:40:00Z,18.0,8.0,280,1,,6.21,29.929134,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEW,2015-05-22T19:40:00Z,17.0,6.0,270,4,,6.21,29.899607,,,,FEW,21000,,,,,,,METAR, A02 TSNO
KQEV,2015-05-22T19:40:00Z,14.0,10.0,270,1,,5.59,29.920275,,,HZ,CLR,,,,,,,,METAR, A02 TSNO
KQER,2015-05-22T19:40:00Z,11.0,7.0,0,0,,4.97,29.899607,,,,OVC,1500,,,,,,,METAR, A02 TSNO
KQEQ,2015-05-22T19:40:00Z,10.0,8.0,170,2,,1.99,29.778543,,,-SHRA BR,CLR,,,,,,,,METAR, A02 TSNO
KQEP,2015-05-22T19:40:00Z,11.0,6.0,150,1,,6.21,29.878937,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEN,2015-05-22T19:40:00Z,-3.0,-5.0,,,,6.21,,,,,FEW,20000,,,,,,,METAR, A02 TSNO
KQEL,2015-05-22T19:40:00Z,10.0,7.0,90,1,,6.21,29.970472,,,,SCT,21000,,,,,,,METAR, A02 TSNO
KIAB,2015-05-22T19:40:00Z,14.0,13.0,130,8,,10.0,30.188976,,,-RA,BKN,1200,OVC,1900,,,,,SPECI, AO2 RAB35
KDLZ,2015-05-22T19:40:00Z,19.0,6.0,360,5,,10.0,30.188976,,,,BKN,5000,OVC,7500,,,,,METAR, AO2
KRRL,2015-05-22T19:40:00Z,19.2,-0.5,0,0,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2 T01921005
KODO,2015-05-22T19:40:00Z,22.2,17.2,150,4,,10.0,30.070866,,,,BKN,1600,BKN,2000,OVC,3400,,,SPECI, AO2 T02220172
KQEJ,2015-05-22T19:40:00Z,11.0,7.0,70,1,,6.21,29.899607,,,,BKN,22000,,,,,,,METAR, A02 TSNO
KQEI,2015-05-22T19:40:00Z,11.0,5.0,110,1,,6.21,29.940945,,,,BKN,22000,,,,,,,METAR, A02 TSNO
KITR,2015-05-22T19:39:00Z,11.7,10.0,140,18,25,10.0,30.0,,,,BKN,1000,OVC,1400,,,,,SPECI, AO2 PK WND 15026/1907 CIG 007V012 T01170100
