KBCK,2015-05-22T13:55:00Z,13.6,3.6,180,5,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01360036
KMDS,2015-05-22T14:10:00Z,17.0,3.0,0,0,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2
K7W4,2015-05-22T13:55:00Z,15.6,7.9,310,4,,10.0,30.138779,,,,CLR,,,,,,,,METAR, AO1 T01560079
KGUC,2015-05-22T13:55:00Z,7.0,1.0,50,3,,10.0,30.109253,,,,CLR,,,,,,,,METAR, AO1
KBWG,2015-05-22T13:53:00Z,15.0,7.8,0,0,,10.0,30.31004,,,,CLR,,,,,,,,METAR, AO2 SLP264 T01500078
KIDA,2015-05-22T13:53:00Z,10.0,8.3,40,3,,10.0,29.940945,,,,BKN,6500,OVC,10000,,,,,METAR, AO2 RAE15 SLP114 SHRA ALQDS MOV SW P0001 T01000083
KSGT,2015-05-22T14:15:00Z,16.0,9.0,90,11,,10.0,30.31004,,,,CLR,,,,,,,,METAR, AO1
KEST,2015-05-22T13:52:00Z,16.7,5.0,10,5,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 SLP228 T01670050
KWAL,2015-05-22T13:54:00Z,17.2,9.4,320,9,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2 SLP184 T01720094
KCPC,2015-05-22T13:55:00Z,18.0,10.2,30,8,,10.0,30.159449,,,,SCT,2900,BKN,6500,,,,,METAR, AO2 T01800102
KTWF,2015-05-22T13:53:00Z,12.2,7.8,110,3,,10.0,29.899607,,,,OVC,6000,,,,,,,METAR, AO2 RAB1259E15 SLP090 P0000 T01220078
KHAO,2015-05-22T13:53:00Z,15.0,7.8,0,5,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2 SLP235 T01500078
KSUU,2015-05-22T13:58:00Z,12.1,10.1,240,15,,10.0,29.949802,,TRUE,,FEW,11000,,,,,,,METAR, AO2 SLP149 T01210101 $
KTYR,2015-05-22T13:53:00Z,15.6,10.6,80,12,,10.0,30.188976,,,,OVC,4800,,,,,,,METAR, AO2 SLP219 T01560106
KRHI,2015-05-22T13:53:00Z,12.2,0.6,250,5,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 SLP235 T01220006
KCRP,2015-05-22T13:51:00Z,26.7,24.4,90,6,,10.0,30.041338,,,,FEW,900,SCT,1500,BKN,2300,BKN,25000,METAR, AO2 SLP170 TCU E T02670244
KONA,2015-05-22T14:13:00Z,13.0,7.0,0,0,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
KPUW,2015-05-22T13:53:00Z,14.4,10.6,60,3,,10.0,29.890747,,,,CLR,,,,,,,,METAR, AO2 SLP115 T01440106
KPCW,2015-05-22T14:11:00Z,15.0,6.0,340,6,,10.0,30.15059,,TRUE,,BKN,6000,,,,,,,METAR, AO2 $
KBCT,2015-05-22T12:50:00Z,27.0,22.0,330,7,,10.0,30.079725,,,,CLR,,,,,,,,METAR
KMGY,2015-05-22T13:53:00Z,13.9,7.2,250,5,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01390072
KMTH,2015-05-22T13:53:00Z,30.0,23.9,50,8,,10.0,30.079725,,,,FEW,2100,,,,,,,METAR, AO2 SLP186 T03000239
KFYV,2015-05-22T13:53:00Z,13.3,9.4,,,,10.0,30.280512,,,,CLR,,,,,,,,METAR, AO2 SLP250 T01330094
KRNO,2015-05-22T13:55:00Z,10.0,7.8,100,4,,10.0,29.970472,,,,FEW,1000,BKN,3500,OVC,8000,,,METAR, AO2 SLP124 MTN TOPS OBSCD SE SW-NW T01000078
KRYY,2015-05-22T13:47:00Z,16.0,8.0,350,4,,10.0,30.239174,,,,SCT,15000,,,,,,,METAR
KBKT,2015-05-22T13:55:00Z,16.2,6.3,310,9,15,10.0,30.159449,,,,CLR,,,,,,,,METAR, AO1 T01620063
KTVL,2015-05-22T13:53:00Z,6.7,3.9,0,0,,9.0,29.991142,,,-RA,BKN,800,OVC,1400,,,,,METAR, AO2 CIG 004V011 SLP129 P0004 T00670039
KCGF,2015-05-22T13:45:00Z,13.0,1.0,360,10,,10.0,30.129921,,,,SKC,,,,,,,,METAR
KP28,2015-05-22T12:56:00Z,10.0,10.0,110,7,,,30.159449,,,,,,,,,,,,METAR, AO1 SLP212 P0012 T01000100
KEWK,2015-05-22T14:15:00Z,11.0,7.0,140,9,,10.0,30.259842,,,,FEW,3100,SCT,3900,OVC,5000,,,METAR, AO1 P0001
KBAF,2015-05-22T13:53:00Z,18.9,2.8,300,12,,10.0,29.84941,,,,CLR,,,,,,,,METAR, AO2 SLP107 T01890028
KADM,2015-05-22T13:55:00Z,15.0,13.0,130,7,,7.0,30.200787,,,RA,OVC,3500,,,,,,,METAR, LTG DSNT N & SW RWY 13 / ATIS B
KTRK,2015-05-22T13:55:00Z,0.0,5.0,0,0,,7.0,30.0,,,,FEW,200,OVC,1000,,,,,SPECI, NOFIRST 70069 24HR MAX 0128 MIN 0006
KSEZ,2015-05-22T13:55:00Z,13.0,3.0,140,5,,10.0,29.97933,,,,CLR,,,,,,,,METAR, AO2
KSMQ,2015-05-22T13:53:00Z,18.3,5.6,0,0,,10.0,29.929134,,,,CLR,,,,,,,,METAR, AO2 SLP137 T01830056 TSNO
KFCM,2015-05-22T13:53:00Z,15.6,3.9,50,4,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2 SLP222 T01560039
KXBP,2015-05-22T13:55:00Z,15.5,15.5,110,10,15,3.0,30.15059,,,RA,BKN,700,OVC,1100,,,,,METAR, AO2 LTG DSNT N AND NW P0001 T01550155
KTEB,2015-05-22T13:51:00Z,19.4,4.4,330,8,15,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO2 SLP130 T01940044
KQGV,2015-05-22T13:55:00Z,40.0,0.0,120,14,25,5.59,29.648623,,,HZ,SCT,15000,,,,,,,METAR, SLPNO QNH1004 PA +724
KMVH,2015-05-22T13:55:00Z,9.0,3.0,0,0,,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO2
KALO,2015-05-22T13:54:00Z,16.1,6.7,320,3,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01610067
KOKK,2015-05-22T14:15:00Z,16.0,9.0,320,4,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO1
KILG,2015-05-22T13:51:00Z,17.8,6.7,290,13,,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO2 SLP166 T01780067
KBYS,2015-05-22T13:55:00Z,11.3,5.6,260,14,23,10.0,29.870079,,TRUE,,FEW,9500,,,,,,,METAR, AO2 SLP104 T01130056 $
