No errors
No warnings
269 ms
data source=metars
4649 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYLL 130708Z AUTO 22008KT 6SM BR CLR 01/M01 A3011 RMK SLP230,CYLL,2015-03-13T07:08:00Z,53.32,-110.07,1.0,-1.0,220,8,,6.0,30.109253,1023.0,,TRUE,,,,,,,BR,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,669.0
CYKJ 130708Z AUTO 21011G16KT 1 3/4SM BR OVC005 M05/M05 A2997 RMK ICG SLP184,CYKJ,2015-03-13T07:08:00Z,57.25,-105.62,-5.0,-5.0,210,11,16,1.75,29.970472,1018.4,,TRUE,,,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,509.0
CYAT 130708Z AUTO 03004KT 2 1/4SM BR CLR M26/M29 A3052 RMK SLP337,CYAT,2015-03-13T07:08:00Z,52.93,-82.43,-26.0,-29.0,30,4,,2.25,30.519686,1033.7,,TRUE,,,,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,SPECI,9.0
CYSF 130706Z AUTO 08005KT 6SM -SN FEW013 BKN022 OVC047 M08/M09 A2996 RMK SLP165,CYSF,2015-03-13T07:06:00Z,59.25,-105.82,-8.0,-9.0,80,5,,6.0,29.958662,1016.5,,TRUE,,,,,,,-SN,FEW,1300,BKN,2200,OVC,4700,,,MVFR,,,,,,,,,,,,SPECI,250.0
KGZH 130706Z AUTO 09007KT 10SM OVC014 21/19 A3014 RMK AO2 T02060194,KGZH,2015-03-13T07:06:00Z,31.42,-87.05,20.6,19.4,90,7,,10.0,30.138779,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,SPECI,78.0
KGPT 130706Z AUTO 14010KT 4SM RA BR BKN008 BKN031 OVC049 19/18 A3008 RMK AO2 LTG DSNT S P0004 T01940183,KGPT,2015-03-13T07:06:00Z,30.42,-89.08,19.4,18.3,140,10,,4.0,30.079725,,,TRUE,TRUE,,,,,,RA BR,BKN,800,BKN,3100,OVC,4900,,,IFR,,,,,,0.04,,,,,,SPECI,14.0
KCNU 130706Z AUTO 12006KT 10SM BKN021 13/07 A3014 RMK AO2 T01330072,KCNU,2015-03-13T07:06:00Z,37.67,-95.48,13.3,7.2,120,6,,10.0,30.138779,,,TRUE,TRUE,,,,,,,BKN,2100,,,,,,,MVFR,,,,,,,,,,,,SPECI,297.0
YBCS 130705Z 15019KT 9999 VCSH SCT018 BKN280 26/23 Q1003,YBCS,2015-03-13T07:05:00Z,-16.87,145.75,26.0,23.0,150,19,,6.21,29.616142,,,,,,,,,,VCSH,SCT,1800,BKN,28000,,,,,VFR,,,,,,,,,,,,METAR,7.0
KEUF 130705Z AUTO 09007G19KT 10SM OVC015 16/13 A3025 RMK AO2 $,KEUF,2015-03-13T07:05:00Z,31.95,-85.13,16.0,13.0,90,7,19,10.0,30.250984,,,TRUE,TRUE,TRUE,,,,,,OVC,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,87.0
VOBL 130705Z 12011KT 070V160 CAVOK 32/14 Q1018 NOSIG,VOBL,2015-03-13T07:05:00Z,13.2,77.7,32.0,14.0,120,11,,6.21,30.059055,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,915.0
CYPY 130705Z AUTO 08004KT 9SM SCT016 M07/M07 A2991 RMK SLP149,CYPY,2015-03-13T07:05:00Z,58.77,-111.12,-7.0,-7.0,80,4,,9.0,29.911417,1014.9,,TRUE,,,,,,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,SPECI,232.0
KPBF 130705Z AUTO 03004KT 3SM BR OVC004 14/14 A3003 RMK AO2 RAE0655 P0000 T01390139,KPBF,2015-03-13T07:05:00Z,34.18,-91.93,13.9,13.9,30,4,,3.0,30.029528,,,TRUE,TRUE,,,,,,BR,OVC,400,,,,,,,LIFR,,,,,,0.0050,,,,,,METAR,62.0
KMCB 130705Z AUTO 14013KT 10SM FEW009 BKN015 OVC120 19/18 A3001 RMK AO2 P0001 T01940183,KMCB,2015-03-13T07:05:00Z,31.18,-90.47,19.4,18.3,140,13,,10.0,30.008858,,,TRUE,TRUE,,,,,,,FEW,900,BKN,1500,OVC,12000,,,MVFR,,,,,,0.01,,,,,,METAR,124.0
KHLR 130705Z AUTO 36006KT 9SM OVC006 13/12 A3002 RMK AO2,KHLR,2015-03-13T07:05:00Z,31.13,-97.72,13.0,12.0,360,6,,9.0,30.02067,,,TRUE,TRUE,,,,,,,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,283.0
CYPX 130704Z AUTO 24014KT 1 1/4SM HZ FEW010 M29/M32 A3020 RMK SLP230,CYPX,2015-03-13T07:04:00Z,60.03,-77.27,-29.0,-32.0,240,14,,1.25,30.200787,1023.0,,TRUE,,,,,,,HZ,FEW,1000,,,,,,,IFR,,,,,,,,,,,,SPECI,23.0
CYVL 130704Z AUTO 05005KT 030V090 2 1/4SM -SN BKN040 OVC100 M24/M26 A2984 RMK SLP146,CYVL,2015-03-13T07:04:00Z,67.02,-126.13,-24.0,-26.0,50,5,,2.25,29.840551,1014.6,,TRUE,,,,,,,-SN,BKN,4000,OVC,10000,,,,,IFR,,,,,,,,,,,,SPECI,259.0
KEET 130704Z AUTO 10007KT 050V130 10SM OVC014 17/15 A3021 RMK AO2 RAE04 P0000 T01720150,KEET,2015-03-13T07:04:00Z,33.18,-86.78,17.2,15.0,100,7,,10.0,30.209646,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,0.0050,,,,,,METAR,173.0
