Station_Office_Code,Station_Code,Potential_ICAO,Station_Name,Report_Header,Dummy to deal with carriage returns
ABQ,CAO,KCAO,Clayton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
ABQ,ROW,KROW,Roswell,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
ABR,8D3,K8D3,Sisseton Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ABR,ABR,KABR,Aberdeen Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ABR,ATY,KATY,Watertown Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ABR,HON,KHON,Huron Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ABR,MBG,KMBG,Mobridge Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ABR,PIR,KPIR,Pierre Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AKQ,WAL,KWAL,WALLOPS ISLAND,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
AKQ,ECG,KECG,ELIZABETH CITY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AKQ,ORF,KORF,NORFOLK,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AKQ,RIC,KRIC,RICHMOND,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AKQ,SBY,KSBY,SALISBURY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ALY,DDH,KDDH,Bennington VT,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
ALY,PSF,KPSF,Pittsfield MA,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
ALY,ALB,KALB,Albany NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ALY,GFL,KGFL,Glens Falls NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
ALY,POU,KPOU,Poughkeepsie NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AMA,AMA,KAMA,Amarillo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AMA,BGD,KBGD,Borger,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AMA,DHT,KDHT,Dalhart,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
AMA,GUY,KGUY,Guymon,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
APX,ANJ,KANJ,Sault Ste. Marie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
APX,APN,KAPN,Alpena,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
APX,HTL,KHTL,Houghton Lake,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
APX,TVC,KTVC,Traverse City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BGM,AVP,KAVP,Scranton/Wilkes-Barre,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BGM,BGM,KBGM,Binghamton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BGM,SYR,KSYR,Syracuse,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BIS,BIS,KBIS,Bismarck,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BIS,DIK,KDIK,Dickinson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BIS,ISN,KISN,Williston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BIS,JMS,KJMS,Jamestown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BIS,MOT,KMOT,Minot,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,ANB,KANB,Anniston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,BHM,KBHM,Birmingham,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,EET,KEET,Shelby County Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,MGM,KMGM,Montgomery,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,TCL,KTCL,Tuscaloosa,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BMX,TOI,KTOI,Troy,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOI,MUO,KMUO,Mountain Home,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE,crap
BOI,REO,KREO,Rome,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BOI,TWF,KTWF,Twin Falls,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BOI,BOI,KBOI,Boise,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL  LAST,crap
BOI,BKE,KBKE,Baker City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOI,JER,KJER,Jerome,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOI,MYL,KMYL,McCall,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOI,ONO,KONO,Ontario,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOU,LIC,KLIC,Limon,WEATHER ITEM   OBSERVED NORMAL DEPARTURE LAST,crap
BOU,APA,KAPA,Centennial,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,crap
BOU,AKO,KAKO,Akron,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOU,DEN,KDEN,Denver,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOX,BDL,KBDL,Hartford (Bradley Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOX,BOS,KBOS,Boston (Logan Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOX,ORH,KORH,Worcester,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BOX,PVD,KPVD,Providence( T.F. Green Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BRO,BRO,KBRO,Brownsville Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BRO,HRL,KHRL,Harlingen Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BRO,MFE,KMFE,McAllen Miller Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BTV,MVL,KMVL,Morrisville,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BTV,PBG,KPBG,Plattsburgh,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BTV,RUT,KRUT,Rutland,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BTV,SLK,KSLK,Saranac Lake,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BTV,VSF,KVSF,Springfield,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
BTV,1V4,K1V4,St. Johnsbury,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BTV,BTV,KBTV,Burlington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BTV,MPV,KMPV,Montpelier,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BTV,MSS,KMSS,Massena,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BUF,ART,KART,Watertown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BUF,BUF,KBUF,Buffalo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BUF,ROC,KROC,Rochester,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BYZ,BIL,KBIL,Billings,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,crap
BYZ,LVM,KLVM,Livingston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BYZ,MLS,KMLS,Miles City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
BYZ,SHR,KSHR,Sheridan,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAE,CUB,KCUB,Hamilton-Owens Airport,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
CAE,DNL,KDNL,Augusta Daniel Field,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
CAE,OGB,KOGB,Orangeburg Airport,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
CAE,AGS,KAGS,Augusta Regional Bush Field,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAE,CAE,KCAE,Columbia Metro Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAR,BGR,KBGR,Bangor,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAR,CAR,KCAR,Caribou,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAR,FVE,KFVE,Frenchville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAR,HUL,KHUL,Houlton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CAR,MLT,KMLT,Millinocket,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CHS,CXM,KCXM,Downtown Charleston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
CHS,CHS,KCHS,Charleston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CHS,SAV,KSAV,Savannah,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,CAK,KCAK,Akron/Canton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,CLE,KCLE,Cleveland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,ERI,KERI,Erie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,MFD,KMFD,Mansfield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,TOL,KTOL,Toledo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CLE,YNG,KYNG,Youngstown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CRP,CRP,KCRP,Corpus Christi,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CRP,VCT,KVCT,Victoria,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CTP,AOO,KAOO,Altoona,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CTP,BFD,KBFD,Bradford,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CTP,IPT,KIPT,Williamsport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CTP,JST,KJST,Johnstown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CTP,MDT,KMDT,Harrisburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,AIA,KAIA,Alliance,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,BFF,KBFF,Scottsbluff,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,CDR,KCDR,Chadron,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,CYS,KCYS,Cheyenne,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,DGW,KDGW,Douglas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,LAR,KLAR,Laramie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,RWL,KRWL,Rawlins,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,SNY,KSNY,Sidney,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
CYS,TOR,KTOR,Torrington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DDC,DGC,KDGC,DODGE CITY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DDC,GCK,KGCK,GARDEN CITY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DDC,P28,KP28,MEDICINE LODGE,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,DLH,KDLH,Duluth,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,EAU,KEAU,Eau Claire,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,FGF,KFGF,Grand Forks,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,GRB,KGRB,Green Bay,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,INL,KINL,International Fall,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,MPX,KMPX,Chanhassen,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,MSP,KMSP,Minneapolis,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DLH,STC,KSTC,St Cloud,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,ALO,KALO,Waterloo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,AMW,KAMW,Ames,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,DSM,KDSM,Des Moines,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,EST,KEST,Estherville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,LWD,KLWD,Lamoni,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,MCW,KMCW,Mason City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,MIW,KMIW,Marshalltown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DMX,OTM,KOTM,Ottumwa,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DTX,MBS,KMBS,Saginaw,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
DTX,DTW,KDTW,Detroit,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
DTX,FNT,KFNT,Flint,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
