No errors
No warnings
201 ms
data source=metars
4716 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
LWOH 141730Z 10004KT CAVOK 23/13 Q1016,LWOH,2015-06-14T17:30:00Z,41.18,20.75,23.0,13.0,100,4,,6.21,30.0,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,761.0
HSSS 141730Z 32004KT CAVOK Q1007,HSSS,2015-06-14T17:30:00Z,15.58,32.53,,,320,4,,6.21,29.734253,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,380.0
SPZA 141730Z VRB02KT CAVOK 23/13 Q1014 RMK PP000,SPZA,2015-06-14T17:30:00Z,-14.87,-74.95,23.0,13.0,0,2,,6.21,29.940945,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,765.0
ORBI 141730Z 29010KT CAVOK 36/06 Q1001,ORBI,2015-06-14T17:30:00Z,33.27,44.23,36.0,6.0,290,10,,6.21,29.557087,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
UBBN 141730Z 12009KT 9999 FEW100 25/03 Q1010 R14R/CLRD60 NOSIG RMK MT OP QFE683,UBBN,2015-06-14T17:30:00Z,39.18,45.45,25.0,3.0,120,9,,6.21,29.822834,,,,,,TRUE,,,,,FEW,10000,,,,,,,VFR,,,,,,,,,,,,METAR,873.0
HECA 141730Z 36012KT 9999 FEW025 28/17 Q1011 NOSIG,HECA,2015-06-14T17:30:00Z,30.12,31.38,28.0,17.0,360,12,,6.21,29.852362,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,74.0
HRYR 141730Z 27003KT 9999 SCT025 21/17 Q1020 NOSIG,HRYR,2015-06-14T17:30:00Z,-1.97,30.12,21.0,17.0,270,3,,6.21,30.11811,,,,,,TRUE,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,SPECI,1497.0
SPJR 141730Z 00000KT CAVOK 22/10 Q1028,SPJR,2015-06-14T17:30:00Z,-7.12,-78.47,22.0,10.0,0,0,,6.21,30.35433,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,2622.0
FMMI 141730Z 11007KT 9999 FEW017 14/14 Q1022 NOSIG,FMMI,2015-06-14T17:30:00Z,-18.8,47.47,14.0,14.0,110,7,,6.21,30.177166,,,,,,TRUE,,,,,FEW,1700,,,,,,,VFR,,,,,,,,,,,,METAR,1276.0
BKPR 141730Z 24009KT CAVOK 28/08 Q1014 NOSIG,BKPR,2015-06-14T17:30:00Z,42.58,21.03,28.0,8.0,240,9,,6.21,29.940945,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,SPECI,576.0
K05U 141730Z AUTO 05005KT 10SM CLR 25/02 A3005 RMK AO1,K05U,2015-06-14T17:30:00Z,39.6,-116.0,25.0,2.0,50,5,,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1816.0
