No errors
No warnings
217 ms
data source=metars
4712 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KDLZ 151001Z AUTO 21003KT 10SM SCT060 SCT080 OVC110 21/20 A3003 RMK AO2,KDLZ,2015-06-15T10:01:00Z,40.28,-83.12,21.0,20.0,210,3,,10.0,30.029528,,,TRUE,TRUE,,,,,,,SCT,6000,SCT,8000,OVC,11000,,,VFR,,,,,,,,,,,,METAR,289.0
SBSV 151000Z 27002KT 9999 SCT017 FEW020TCU SCT070 25/23 Q1016,SBSV,2015-06-15T10:00:00Z,-12.9,-38.32,25.0,23.0,270,2,,6.21,30.0,,,,,,,,,,,SCT,1700,FEW,2000,SCT,7000,,,VFR,,,,,,,,,,,,METAR,6.0
BIHN 151000Z 17009KT 9999 -SHRA FEW020 SCT035 BKN045 09/// Q1017,BIHN,2015-06-15T10:00:00Z,64.3,-15.23,,,170,9,,6.21,30.029528,,,,,,,,,,-SHRA,FEW,2000,SCT,3500,BKN,4500,,,VFR,,,,,,,,,,,,METAR,7.0
SBCF 151000Z 24001KT CAVOK 15/13 Q1019,SBCF,2015-06-15T10:00:00Z,-19.63,-43.97,15.0,13.0,240,1,,6.21,30.088583,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,828.0
NFNA 151000Z 00000KT 9999 BKN020 BKN045 24/22 Q1014 ,NFNA,2015-06-15T10:00:00Z,-18.05,178.57,24.0,22.0,0,0,,6.21,29.940945,,,,,,,,,,,BKN,2000,BKN,4500,,,,,MVFR,,,,,,,,,,,,METAR,5.0
TVSV 151000Z 09010KT 9999 BKN017 SCT280 27/23 Q1015/HZ,TVSV,2015-06-15T10:00:00Z,13.13,-61.2,27.0,23.0,90,10,,6.21,,,,,,,,,,,HZ,BKN,1700,SCT,28000,,,,,MVFR,,,,,,,,,,,,METAR,9.0
SBFL 151000Z 20007KT 9999 FEW015 SCT040 16/09 Q1015,SBFL,2015-06-15T10:00:00Z,-27.67,-48.53,16.0,9.0,200,7,,6.21,29.970472,,,,,,,,,,,FEW,1500,SCT,4000,,,,,VFR,,,,,,,,,,,,METAR,5.0
SBCG 151000Z 18015G26KT 9000 -RA SCT006 BKN008 14/13 Q1018,SBCG,2015-06-15T10:00:00Z,-20.47,-54.67,14.0,13.0,180,15,26,5.59,30.059055,,,,,,,,,,-RA,SCT,600,BKN,800,,,,,IFR,,,,,,,,,,,,METAR,567.0
OSKL 151000Z 21014KT 8000 33/16 Q1004,OSKL,2015-06-15T10:00:00Z,37.03,41.2,33.0,16.0,210,14,,4.97,29.64567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,455.0
OSLK 151000Z 23014KT 8000 SCT026 BKN030 27/21 Q1009,OSLK,2015-06-15T10:00:00Z,35.4,35.95,27.0,21.0,230,14,,4.97,29.793306,,,,,,,,,,,SCT,2600,BKN,3000,,,,,MVFR,,,,,,,,,,,,METAR,7.0
OSDI 151000Z 17009KT CAVOK 31/12 Q1010,OSDI,2015-06-15T10:00:00Z,33.42,36.52,31.0,12.0,170,9,,6.21,29.822834,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,605.0
AGGH 151000Z 11004KT 9999 -RA FEW016 FEW017CB BKN029 24/24 Q1010,AGGH,2015-06-15T10:00:00Z,-9.42,160.05,24.0,24.0,110,4,,6.21,29.822834,,,,,,,,,,-RA,FEW,1600,FEW,1700,BKN,2900,,,MVFR,,,,,,,,,,,,METAR,9.0
NFTF 151000Z 12005KT 9999 FEW008 SCT014 BKN040 22/21 Q1016 RESH,NFTF,2015-06-15T10:00:00Z,-21.23,-175.15,22.0,21.0,120,5,,6.21,30.0,,,,,,,,,,,FEW,800,SCT,1400,BKN,4000,,,VFR,,,,,,,,,,,,METAR,38.0
SBGL 151000Z 24011KT CAVOK 25/17 Q1011,SBGL,2015-06-15T10:00:00Z,-22.82,-43.25,25.0,17.0,240,11,,6.21,29.852362,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,6.0
SMZO 151000Z 00000KT 9999 FEW012 FEW020CB 24/23 Q1012 NOSIG,SMZO,2015-06-15T10:00:00Z,5.82,-55.18,24.0,23.0,0,0,,6.21,29.88189,,,,,,TRUE,,,,,FEW,1200,FEW,2000,,,,,VFR,,,,,,,,,,,,METAR,10.0
SMJP 151000Z VRB01KT 9999 BKN004 24/23 Q1013 NOSIG,SMJP,2015-06-15T10:00:00Z,5.45,-55.17,24.0,23.0,0,1,,6.21,29.911417,,,,,,TRUE,,,,,BKN,400,,,,,,,LIFR,,,,,,,,,,,,METAR,16.0
LFVP 151000Z 02017KT 9999 BKN022 BKN080 07/04 Q1016 NOSIG,LFVP,2015-06-15T10:00:00Z,46.77,-56.18,7.0,4.0,20,17,,6.21,30.0,,,,,,TRUE,,,,,BKN,2200,BKN,8000,,,,,MVFR,,,,,,,,,,,,METAR,8.0
FQCH 151000Z /////KT 9999 FEW015 23/11 Q1023,FQCH,2015-06-15T10:00:00Z,-19.15,33.43,23.0,11.0,,,,6.21,30.206694,,,,,,,,,,,FEW,1500,,,,,,,VFR,,,,,,,,,,,,METAR,732.0
NFFN 151000Z 14006KT 9999 FEW030 24/20 Q1013 NOSIG,NFFN,2015-06-15T10:00:00Z,-17.75,177.45,24.0,20.0,140,6,,6.21,29.911417,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,18.0
