station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KDLZ,2015-05-27T14:20:00Z,22.0,16.0,230,9,15,10.0,30.109253,,,,BKN,2100,BKN,2900,BKN,3400,,,SPECI, AO2
KMOP,2015-05-27T14:19:00Z,21.0,16.3,210,13,18,10.0,29.870079,,,,BKN,2100,OVC,3200,,,,,SPECI, AO2 T02100163
KJMR,2015-05-27T14:19:00Z,18.0,13.0,230,5,,10.0,29.899607,,,,CLR,,,,,,,,SPECI, AO2
K40B,2015-05-27T14:19:00Z,22.1,16.6,0,6,,,30.029528,,,,,,,,,,,,METAR, AO1 SLP164 T02210166 57006 
KBDU,2015-05-27T14:18:00Z,15.0,9.0,40,3,,10.0,30.079725,,,,SCT,10000,,,,,,,SPECI, AO2
KPOV,2015-05-27T14:18:00Z,21.3,15.7,230,7,,10.0,30.100393,,,,BKN,2000,OVC,2600,,,,,SPECI, AO2 T02130157
K4I3,2015-05-27T14:17:00Z,22.0,18.0,230,7,,10.0,30.121063,,,,BKN,1800,BKN,2900,BKN,3600,,,SPECI, AO2
KSLH,2015-05-27T14:17:00Z,16.8,15.6,220,11,16,3.0,29.740158,,,BR,OVC,1400,,,,,,,SPECI, AO2 T01680156
KNFE,2015-05-27T14:17:00Z,29.4,20.6,190,9,14,3.0,30.250984,,,HZ,SCT,2300,,,,,,,SPECI, AO2 T02940206 
KI69,2015-05-27T14:17:00Z,22.0,17.0,220,10,,10.0,30.15059,,,,BKN,2000,BKN,2800,,,,,SPECI, AO1
KMGG,2015-05-27T14:17:00Z,18.0,14.5,240,4,,10.0,29.920275,,,,CLR,,,,,,,,SPECI, AO2 T01800145
KMQJ,2015-05-27T14:17:00Z,23.0,16.0,230,12,16,10.0,30.079725,,,,CLR,,,,,,,,SPECI, AO1
KSDF,2015-05-27T14:17:00Z,23.9,18.9,210,8,,10.0,30.138779,,,,BKN,1800,,,,,,,SPECI, AO2 T02390189
KOLF,2015-05-27T14:17:00Z,15.6,11.1,310,8,,10.0,29.929134,,,VCTS,SCT,12000,,,,,,,SPECI, AO2 LTG DSNT S AND SW T01560111
